NO. ,DOI Number,Author,Publication Date,Chemical Formula,Material,Metal,A Cation,ETL,Substrate,Solvent,Full Device,Perovskite Thickness (nm),Temperature Fabrication,Relative Humidity,Bandgap,Open-Circuit Voltage (Voc),Short-Circuit Current Density (Jsc),Fill Factor (FF),PCE%
374,https://doi.org/10.1016/j.nanoen.2025.111279,Araujo et al.,25/6/2025,CsFAMAPb(IBr)3,"Cesium-doped formamidinium-methylammonium lead iodide-bromide mixed halide perovskite with PEAI + 1,8-DIO 2D overlayer — CsFAMAPb(IBr)3",Pb,Cs + FA + MA,TiO2,FTO,DMF; DMSO; CB; IPA ,FTO | c-TiO2:G | m-TiO2:G | Perovskite | PEAI:DIO | Spiro-OMeTAD | Au,617,100,58,1.63,1.13,22.4,0.8,20.25
375,https://doi.org/10.1016/j.nanoen.2025.111279,Araujo et al.,25/6/2025,CsFAMAPb(IBr)3,Cesium-doped formamidinium-methylammonium lead iodide-bromide mixed halide perovskite with PEAI — CsFAMAPb(IBr)3,Pb,Cs + FA + MA,TiO2 | G,FTO,DMF; DMSO; CB; IPA ,FTO | c-TiO2:G | m-TiO2:G | Perovskite | PEAI:DIO | Spiro-OMeTAD | Au,617,100,55,1.63,1.07,21.81,0.791,18.45
376,https://doi.org/10.1016/j.nanoen.2025.111279,Araujo et al.,25/6/2025,CsFAMAPb(IBr)3,Cesium-doped formamidinium-methylammonium lead iodide-bromide mixed halide perovskite with PEAI + 1-DIO 2D overlayer — CsFAMAPb(IBr)3,Pb,Cs + FA + MA,TiO2 | G,FTO,DMF; DMSO; CB; IPA ,FTO | c-TiO2:G | m-TiO2:G | Perovskite | PEAI:DIO | Spiro-OMeTAD | Au,617,100,55,1.63,1.11,21.96,0.78,19.15
377,https://doi.org/10.1016/j.nanoen.2025.111279,Araujo et al.,25/6/2025,CsFAMAPb(IBr)3,Cesium-doped formamidinium-methylammonium lead iodide-bromide mixed halide perovskite with PEAI + 5-DIO 2D overlayer — CsFAMAPb(IBr)3,Pb,Cs + FA + MA,TiO2 | G,FTO,DMF; DMSO; CB; IPA ,FTO | c-TiO2:G | m-TiO2:G | Perovskite | PEAI:DIO | Spiro-OMeTAD | Au,617,100,55,1.63,1.13,21.97,0.781,19.48
378,10.1016/j.nanoen.2025.111279,Lopes de Araujo et al.,25/06/2025,PEA2PbI4,Phenethylammonium Lead Iodide - PEA2PbI4,Pb,PEA;Cs;FA;MA,TiO2,SLG|FTO,DMF; DMSO; ACN; CB; IPA; EtOH,FTO | c-TiO2 | meso-TiO2 | CsFAMA | PEAI | Spiro-OMeTAD | Au,500,280,30,1.71,1.13,22.4,0.8,34
379,https://dx.doi.org/10.2139/ssrn.5589797,Khambunkoed et al.,11/10/2025,CsMAFASb2ICl(PEA),Phenylethylammonium–Cesium–Methylammonium–Formamidinium Antimony Iodide–Chloride Perovskite — CsMAFASb2ICl(PEA),Sb,Cs + FA + MA + PEA,C60 | PCBM,ITO,DMF; IPA,ITO | MeO-2PACz | Perovskite | PC71BM | BCP | Ag,250,130,50,2.13,0.86,2.43,0.6842,1.55
380,https://dx.doi.org/10.2139/ssrn.5589797,Khambunkoed et al.,11/10/2025,CsMAFASb2ICl(PEA0.03),Phenylethylammonium–Cesium–Methylammonium–Formamidinium Antimony Iodide–Chloride Perovskite — CsMAFASb2ICl(PEA),Sb,Cs + FA + MA + PEA,C60 | PCBM,ITO,DMF; IPA,ITO | MeO-2PACz | Perovskite | PC71BM | BCP | Ag,250,130,50,2.13,0.83,2.63,0.6591,1.53
381,https://dx.doi.org/10.2139/ssrn.5589797,Khambunkoed et al.,11/10/2025,CsMAFASb2ICl(PEA0.05),Phenylethylammonium–Cesium–Methylammonium–Formamidinium Antimony Iodide–Chloride Perovskite — CsMAFASb2ICl(PEA),Sb,Cs + FA + MA + PEA,C60 | PCBM,ITO,DMF; IPA,ITO | MeO-2PACz | Perovskite | PC71BM | BCP | Ag,250,130,50,2.13,0.84,2.71,0.6581,1.59
382,https://dx.doi.org/10.2139/ssrn.5589797,Khambunkoed et al.,11/10/2025,CsMAFASb2ICl(PEA0.07),Phenylethylammonium–Cesium–Methylammonium–Formamidinium Antimony Iodide–Chloride Perovskite — CsMAFASb2ICl(PEA),Sb,Cs + FA + MA + PEA,C60 | PCBM,ITO,DMF; IPA,ITO | MeO-2PACz | Perovskite | PC71BM | BCP | Ag,250,130,50,2.13,0.87,2.81,0.6874,1.71
383,https://dx.doi.org/10.2139/ssrn.5589797,Khambunkoed et al.,11/10/2025,CsMAFASb2ICl(PEA0.10),Phenylethylammonium–Cesium–Methylammonium–Formamidinium Antimony Iodide–Chloride Perovskite — CsMAFASb2ICl(PEA),Sb,Cs + FA + MA + PEA,C60 | PCBM,ITO,DMF; IPA,ITO | MeO-2PACz | Perovskite | PC71BM | BCP | Ag,250,130,50,2.13,0.83,2.73,0.6417,1.53
384,https://dx.doi.org/10.2139/ssrn.5604791,Rahman et al.,14/10/2025,Cs(FAMA)Pb(IBr)3,Cesium–Formamidinium–Methylammonium Lead Iodide–Bromide — Cs(FAMA)Pb(IBr)3,Pb,Cs + FA + MA,SnO2,SLG | FTO,DMF; DMSO,SLG | FTO | SnO2 | Perovskite | Spiro-OMeTAD | Au,600,25,50,1.59,1.08,22.9,0.776,19.2
385,https://dx.doi.org/10.2139/ssrn.5604791,Rahman et al.,14/10/2025,Cs(FAMA)Pb(IBr)3,Cesium–Formamidinium–Methylammonium Lead Iodide–Bromide — Cs(FAMA)Pb(IBr)3,Pb,Cs + FA + MA,SnO2,SLG | FTO,DMF; DMSO,SLG | FTO | SnO2 | Perovskite | PEAI | Spiro-OMeTAD | Au,600,25,50,1.59,1.13,23.2,0.798,20.9
386,,,,,,,,,,,,,,,,,,,
387,,,,,,,,,,,,,,,,,,,
388,,,,,,,,,,,,,,,,,,,
389,,,,,,,,,,,,,,,,,,,
390,,,,,,,,,,,,,,,,,,,
391,,,,,,,,,,,,,,,,,,,
392,,,,,,,,,,,,,,,,,,,
393,,,,,,,,,,,,,,,,,,,
394,,,,,,,,,,,,,,,,,,,
395,,,,,,,,,,,,,,,,,,,
396,,,,,,,,,,,,,,,,,,,
397,,,,,,,,,,,,,,,,,,,
398,,,,,,,,,,,,,,,,,,,
399,,,,,,,,,,,,,,,,,,,
400,,,,,,,,,,,,,,,,,,,
